,Open,High,Low,Close,Adj Close,Volume
2020-07-30 09:30:00-04:00,296.83819580078125,298.8899841308594,296.76202392578125,297.8840026855469,297.8840026855469,513018.0
2020-07-30 09:35:00-04:00,297.80401611328125,299.7300109863281,297.0,299.7300109863281,299.7300109863281,205513.0
2020-07-30 09:40:00-04:00,299.74798583984375,300.89599609375,298.6100158691406,298.6403503417969,298.6403503417969,190863.0
2020-07-30 09:45:00-04:00,298.67401123046875,300.27398681640625,298.6090087890625,299.3694152832031,299.3694152832031,119983.0
2020-07-30 09:50:00-04:00,299.2539978027344,299.61566162109375,296.42999267578125,296.802001953125,296.802001953125,178689.0
2020-07-30 09:55:00-04:00,296.8059997558594,297.01080322265625,295.26202392578125,295.87799072265625,295.87799072265625,216415.0
2020-07-30 10:00:00-04:00,295.81597900390625,297.33258056640625,294.73602294921875,296.447998046875,296.447998046875,216026.0
2020-07-30 10:05:00-04:00,296.3760070800781,298.0840148925781,295.79998779296875,297.7168273925781,297.7168273925781,143836.0
2020-07-30 10:10:00-04:00,297.7389831542969,297.79998779296875,296.20001220703125,296.31005859375,296.31005859375,101610.0
2020-07-30 10:15:00-04:00,296.21002197265625,296.86798095703125,294.20001220703125,295.677001953125,295.677001953125,226461.0
2020-07-30 10:20:00-04:00,295.71002197265625,296.2139892578125,294.6000061035156,296.0,296.0,126140.0
2020-07-30 10:25:00-04:00,296.0979919433594,296.91998291015625,295.60400390625,296.70782470703125,296.70782470703125,102191.0
2020-07-30 10:30:00-04:00,296.40106201171875,297.39599609375,295.51800537109375,296.98199462890625,296.98199462890625,108674.0
2020-07-30 10:35:00-04:00,296.8922119140625,297.47998046875,296.2879943847656,297.47998046875,297.47998046875,97860.0
2020-07-30 10:40:00-04:00,297.37335205078125,297.4075622558594,295.20001220703125,296.0632019042969,296.0632019042969,124724.0
2020-07-30 10:45:00-04:00,296.20001220703125,296.79998779296875,295.3280029296875,296.010009765625,296.010009765625,81121.0
2020-07-30 10:50:00-04:00,295.92401123046875,296.4701232910156,294.79998779296875,296.26800537109375,296.26800537109375,130380.0
2020-07-30 10:55:00-04:00,296.324951171875,297.0,295.65399169921875,296.5929870605469,296.5929870605469,78990.0
2020-07-30 11:00:00-04:00,296.53997802734375,297.0,295.9020080566406,296.79998779296875,296.79998779296875,69169.0
2020-07-30 11:05:00-04:00,296.7367248535156,296.7367248535156,295.8999938964844,296.0,296.0,48542.0
2020-07-30 11:10:00-04:00,296.02801513671875,298.0,296.0,296.51397705078125,296.51397705078125,63607.0
2020-07-30 11:15:00-04:00,296.406005859375,298.16375732421875,296.3399963378906,298.04962158203125,298.04962158203125,152537.0
2020-07-30 11:20:00-04:00,298.03424072265625,298.7720031738281,297.8340148925781,298.47601318359375,298.47601318359375,152046.0
